"","x","y","z","cluster_1___.pro..cambium","cluster_0___epidermis","cluster_2___cortex","cluster_3___dividing.cells","cluster_5___S.phase.cells","cluster_11___epidermis.dividing","cluster_8___xylem.parenchyma","cluster_6___dividing.cells","cluster_10___epidermis.dividing","cluster_4___floral.meristem","cluster_9___epidermis","cluster_7___mesophyll","cluster_12___phloem"
"813","51.0633","76.8761","38.4337",0.0963324088006198,0.223190418509982,0.126124248177758,0.109597205912242,0.0878298065028642,0.0382861814042379,0.0229584021794828,0.04020421480568,0.062877905787604,0.110909621315497,0.0336303068516593,0.0385323979962547,0.00952859802061691
"814","54.1341","52.7336","40.1784",0.100676954345703,0.213472413522793,0.12995094563315,0.11043553057019,0.0904239830282153,0.0368047808738756,0.0247499196269232,0.0383020512846614,0.061053059992955,0.114572431288301,0.0307116250729316,0.0389198585241478,0.00991338047364775
"815","74.8551","19.3904","33.7293",0.0973213381517982,0.219853372614228,0.125795437185686,0.110647185335648,0.0905039503846298,0.03774590658381,0.0223794288551403,0.039764851303934,0.0626262866032456,0.111571237335507,0.0326001239847011,0.03977819952886,0.00940615867904733
"816","78.2885","51.1033","37.2861",0.0978232601393507,0.217441845370006,0.13154944191195,0.109929908543711,0.087997655040476,0.0377471656265698,0.0233908775570232,0.0386454603045121,0.0613138201213094,0.113225652712422,0.032240694798787,0.0389490824528605,0.00974156265200085
"817","55.0565","31.7062","40.6585",0.101371518310265,0.212505964443292,0.13143498365305,0.11157771894897,0.0907676710000477,0.036205893156134,0.0237690039092897,0.0378803036583619,0.0612511692118707,0.112741016467758,0.0320303824986047,0.0386921815307152,0.00976418257531556
"818","64.8071","32.7861","32.552",0.101081434148915,0.213930650787352,0.130567220780635,0.111408687250248,0.0905015782985983,0.0364042051037124,0.023596001559385,0.0382302507373693,0.0613749973004843,0.111871712600438,0.0326519388200302,0.0387027576405651,0.00967767506377239
"819","91.8176","29.3922","35.4062",0.0969486886754022,0.221723067227084,0.124738583192818,0.110371988225187,0.0901247077018899,0.0379640811492528,0.0221691602978073,0.0402654298449226,0.0627952974720657,0.110471495749934,0.0333708132574942,0.0397663547067556,0.00928904938451952
"820","20.7847","30.6667","40.9091",0.0938209050391531,0.224467855294638,0.127966445423154,0.110262498824275,0.0890012337884481,0.0372388949769724,0.0219908495677204,0.039268370089671,0.0624106468198158,0.107866876933006,0.0346578993983389,0.0417321259249354,0.00932498210167184
"821","41.9188","74.207","37.9377",0.0962245974143204,0.223719956132596,0.125796826667012,0.109532141587177,0.0877206361896839,0.0383661556881367,0.0228931691782372,0.0403599563189141,0.0629177604883982,0.110571562370479,0.033872571883757,0.0385351375375508,0.00949401219193282
"822","61.9452","16.6774","40.6391",0.0936012668996995,0.223502704327136,0.128494643063825,0.110502249825806,0.0897161238287892,0.0371827198518999,0.0217737406201085,0.0386734882698416,0.0626660116338383,0.108706837626748,0.0339752970628261,0.0417027965361491,0.00950864878931572
"824","76.5476","28.2201","38.9033",0.0952981128360267,0.220698473670637,0.132068769229486,0.10922330651426,0.0890320142840321,0.0375620897332349,0.0234455935713549,0.0376672067836061,0.0611607439891677,0.108950143641316,0.0332137966541519,0.0417760798969873,0.009906660910349
"825","86.5303","40.0047","37.868",0.0959011403810422,0.225060295283638,0.124070495469223,0.109449459918283,0.0894858278036645,0.038214473611991,0.022114606064425,0.0400630534765257,0.0633648075720134,0.109634343084108,0.0338911956083278,0.0393096119284064,0.00943277178024681
"826","80.8175","47.443","37.9696",0.0974742830172024,0.219233156607655,0.130478058700248,0.109706471506198,0.0876450343729439,0.0380080263512913,0.0231726346890407,0.0391195730503082,0.0614509204027063,0.112095471356213,0.0330341234923613,0.0389609170386461,0.00962313977215204
"827","32.6996","66.324","37.3142",0.0959092688882154,0.225273307131929,0.124862432601219,0.109316372130517,0.087406858649,0.0385856854991843,0.0227041056951478,0.0408068917276419,0.0630280867418205,0.109605249407194,0.0345727722179152,0.0385271315683885,0.0093888799130194
"828","47.5218","76.4824","34.7539",0.0956750745543497,0.225963782053679,0.127673308066006,0.108298237710754,0.08657615127881,0.0386774684572358,0.0227214929499189,0.0396319503886465,0.0624145843699765,0.109326758848052,0.0349281718728581,0.0385031971658351,0.00959252424252781
"829","78.5007","66.8392","37.987",0.0985033186761986,0.220632876394934,0.126423769449049,0.109738196741464,0.0895869833759484,0.0374357783090234,0.0236652487790712,0.0394203105501357,0.0624731654291687,0.111017327220842,0.0330434365284499,0.038334150563666,0.0097269330749598
"830","42.0543","67.4705","39.4175",0.0999781356808703,0.216113009715482,0.127725353653872,0.11081776609357,0.090414605337147,0.0370176967466241,0.0239194117381572,0.0393776962500461,0.0617358051293242,0.112456213832975,0.0320918405394786,0.0387241515881401,0.00963250749295175
"831","64.873","56.999","38.5934",0.100530652818119,0.214243086447478,0.129485031875659,0.11033720492323,0.0902899234649912,0.0369099436442595,0.0246500652297357,0.0384858811529508,0.0611167473832889,0.114106345950428,0.0310361938592856,0.0389278103837547,0.00986534594303189
"832","30.133","61.4476","35.2389",0.0946341664066688,0.228461977881526,0.127135961792795,0.107844656219559,0.0870619211638586,0.0385258015839991,0.0222941891129384,0.0395546045613638,0.0621031391188379,0.1075381285324,0.0355470081377298,0.0398754964763887,0.00943543185101299
